ax,ay,az,gx,gy,gz,mx,my,mz,label
1,0.99,-0.13,1.16,-2.69,0.37,8.68,-68.6,-50.23,side
0.01,0.99,-0.13,1.22,-2.62,0.12,8.35,-68.95,-50.37,side
0.01,0.99,-0.13,1.16,-2.56,0.24,8.46,-69.34,-50.73,side
0.01,0.99,-0.13,1.28,-2.56,0.37,8.79,-68.9,-50.94,side
0.01,0.99,-0.13,1.16,-2.62,0.12,9.3,-69.89,-50.65,side
0.01,0.99,-0.13,1.04,-2.75,0.31,8.89,-69.73,-51.34,side
0.01,0.99,-0.13,1.34,-2.56,0.31,8.96,-69.24,-50.44,side
0.01,0.99,-0.13,1.16,-2.75,0.24,8.78,-69.17,-51.59,side
0.01,0.99,-0.13,1.16,-2.62,0.31,9.45,-69.37,-50.24,side
0.01,0.99,-0.13,1.1,-2.62,0.24,8.78,-69.06,-50.61,side
0.01,0.99,-0.13,1.16,-2.69,0.37,9.23,-68.87,-50.92,side
0.01,0.99,-0.13,1.1,-2.81,0.37,9.29,-68.84,-51.27,side
0.01,0.99,-0.13,1.16,-2.69,0.31,8.84,-69.1,-50.16,side
0.01,0.99,-0.13,1.22,-2.75,0.24,8.91,-68.91,-50.83,side
0.01,0.99,-0.13,1.16,-2.5,0.18,8.72,-68.86,-50.49,side
0.01,0.99,-0.13,1.22,-2.69,0.37,8.89,-68.3,-50.93,side
0.01,0.99,-0.13,1.22,-2.5,0.31,9.31,-69.08,-50.79,side
0.01,0.99,-0.13,1.16,-2.69,0.18,8.85,-69.4,-52.2,side
0.01,0.99,-0.13,0.92,-2.44,0.31,8.9,-69.07,-51.34,side
0.01,0.99,-0.13,1.16,-2.62,0.24,8.85,-69.38,-50.96,side
0.01,0.99,-0.13,1.1,-2.56,0.18,8.73,-69.7,-51.15,side
0.01,0.99,-0.13,1.04,-2.56,0.31,8.95,-68.85,-49.91,side
0.01,0.99,-0.13,1.16,-2.56,0.12,8.86,-69.15,-50.28,side
0.01,0.99,-0.13,0.98,-2.69,0.18,8.78,-69.2,-50.26,side
0.01,0.99,-0.13,1.1,-2.62,0.24,9.14,-69.25,-51.2,side
0.01,0.99,-0.13,1.1,-2.69,0.24,9.14,-69.07,-51.46,side
0.01,0.99,-0.13,1.16,-2.62,0.31,9.16,-69.17,-50.35,side
0.01,0.99,-0.13,1.34,-2.62,0.37,8.65,-69.06,-51.82,side
0.01,0.99,-0.13,0.98,-2.56,0.24,8.72,-69.53,-51.81,side
0.01,0.99,-0.13,1.04,-2.56,0.24,8.61,-69.71,-51.04,side
0.01,0.99,-0.13,1.22,-2.56,0.37,8.8,-69.18,-50.96,side
0.01,0.99,-0.13,1.04,-2.62,0.31,9.18,-69.51,-50.71,side
0.01,0.99,-0.13,1.16,-2.75,0.31,8.95,-68.96,-49.98,side
0.01,0.99,-0.13,1.1,-2.87,0.24,9.03,-69.18,-51.2,side
0.01,0.99,-0.13,1.16,-2.5,0.24,8.91,-69.31,-51.01,side
0.01,0.99,-0.13,1.16,-2.62,0.31,9.01,-69.47,-50.93,side
0.01,0.99,-0.13,1.1,-2.62,0.24,9.55,-69.43,-50.78,side
0.01,0.99,-0.13,0.92,-2.69,0.24,8.79,-69.14,-50.46,side
0.01,0.99,-0.13,1.16,-2.81,0.18,8.85,-69.37,-51.14,side
0.01,0.99,-0.13,1.16,-2.62,0.18,9.31,-69.45,-51.06,side
0.01,0.99,-0.13,0.98,-2.69,0.18,9.18,-69.34,-50.35,side
0.01,0.99,-0.13,1.04,-2.62,0.18,8.74,-69.65,-50.87,side
0.01,0.99,-0.13,1.22,-2.69,0.24,9.18,-69.49,-50.82,side
0.01,0.99,-0.13,1.22,-2.62,0.24,8.74,-69.59,-51.38,side
0.01,0.99,-0.13,1.16,-2.69,0.31,8.96,-69.81,-51,side
0.01,0.99,-0.13,1.28,-2.62,0.24,8.75,-69.4,-50.17,side
0.01,0.99,-0.13,1.22,-2.5,0.43,8.83,-69.7,-49.95,side
0.01,0.99,-0.13,1.16,-2.81,0.18,9.41,-68.96,-49.02,side
0.01,0.99,-0.13,1.16,-2.5,0.31,8.64,-68.85,-50.44,side
0.01,0.99,-0.13,1.16,-2.69,0.31,8.74,-69.01,-51.53,side
0.01,0.99,-0.13,1.89,-2.62,0.12,9.06,-69.26,-51.4,side
0.01,0.99,-0.13,1.04,-2.69,0.12,8.79,-69.12,-50.51,side
0.01,0.99,-0.13,1.1,-2.5,0.18,8.37,-69.14,-50.54,side
0.01,0.99,-0.13,1.16,-2.62,0.24,8.95,-69.54,-51.76,side
0.01,0.99,-0.13,1.04,-2.56,0.18,8.86,-69.1,-50.79,side
0.01,0.99,-0.13,1.16,-2.69,0.24,8.74,-69.31,-51.5,side
0.01,0.99,-0.13,1.16,-2.62,0.37,8.4,-69.4,-50.68,side
0.01,0.99,-0.13,1.04,-2.5,0.12,8.74,-68.91,-51.89,side
0.01,0.99,-0.13,1.22,-2.56,0.31,8.53,-69.35,-50.48,side
0.01,0.99,-0.13,0.85,-2.5,0.24,9.36,-68.87,-50.35,side
0.01,0.99,-0.13,1.04,-2.69,0.18,9.12,-69.06,-51.43,side
0.01,0.99,-0.13,1.28,-2.62,0.31,9.07,-69.36,-51.49,side
0.01,0.99,-0.13,1.04,-2.69,0.31,8.86,-69.25,-51.17,side
0.01,0.99,-0.13,1.22,-2.62,0.24,9,-69.03,-50.98,side
0.01,0.99,-0.13,1.16,-2.56,0.12,9.3,-69.65,-51.45,side
0.01,0.99,-0.13,1.1,-2.5,0.06,8.83,-69.45,-50.33,side
0.01,0.99,-0.13,1.1,-2.62,0.18,9.18,-69.21,-50.51,side
0.01,0.99,-0.13,1.22,-2.62,0.24,8.73,-69.35,-50.55,side
0.01,0.99,-0.13,1.1,-2.75,0.18,8.62,-69.7,-50.66,side
0.01,0.99,-0.13,1.22,-2.69,0.24,9.06,-69.74,-50.98,side
0.01,0.99,-0.13,1.28,-2.62,0.37,9.02,-69.46,-50.24,side
0.01,0.99,-0.13,1.16,-2.69,0.18,8.62,-69.12,-51.53,side
0.01,0.99,-0.13,1.16,-2.62,0.24,8.81,-69.53,-50.92,side
0.01,0.99,-0.13,1.28,-2.56,0.31,8.83,-69.67,-50.24,side
0.01,0.99,-0.13,1.28,-2.69,0.31,8.94,-69.4,-50.99,side
0.01,0.99,-0.13,1.22,-2.62,0.18,9.31,-69.58,-51.17,side
0.01,0.99,-0.13,1.34,-2.69,0.43,8.48,-69.38,-51.62,side
0.01,0.99,-0.13,1.1,-2.56,0.24,8.51,-69.25,-50.5,side
0.01,0.99,-0.13,1.1,-2.62,0.37,9.11,-69.32,-50.95,side
0.01,0.99,-0.13,1.28,-2.69,0.24,8.87,-69.13,-51.33,side
0.01,0.99,-0.13,1.16,-2.62,0.18,8.73,-68.87,-51.57,side
0.01,0.99,-0.13,1.28,-2.56,0.31,8.73,-69.1,-51.59,side
0.01,0.99,-0.13,1.1,-2.5,0.31,8.7,-69.45,-50.5,side
0.01,0.99,-0.13,1.22,-2.56,0.24,9.07,-69.19,-51.51,side
0.01,0.99,-0.13,1.16,-2.56,0.06,8.85,-69.62,-50.76,side
0.01,0.99,-0.13,1.16,-2.56,0.24,8.75,-69.07,-51.14,side
0.01,0.99,-0.13,1.16,-2.75,0.18,9.08,-69.31,-51.18,side
0.01,0.99,-0.13,1.16,-2.62,0.18,8.65,-68.99,-51.2,side
0.01,0.99,-0.13,1.1,-2.87,0.24,8.85,-69.42,-50.44,side
0.01,0.99,-0.13,1.22,-2.69,0.24,8.63,-68.76,-50.73,side
0.01,0.99,-0.13,1.1,-2.5,0.18,8.97,-68.8,-49.83,side
0.01,0.99,-0.13,1.16,-2.62,0.12,8.56,-69.19,-51.35,side
0.01,0.99,-0.13,1.1,-2.62,0.24,8.56,-69.04,-51.55,side
0.01,0.99,-0.13,1.04,-2.69,0.24,9.07,-69.34,-51.2,side
0.01,0.99,-0.13,1.16,-2.56,0.18,8.69,-68.82,-50.72,side
0.01,0.99,-0.13,1.04,-2.81,0.18,9.05,-69.19,-50.35,side
0.01,0.99,-0.13,1.22,-2.5,0.24,8.87,-69.57,-51.82,side
0.01,0.99,-0.13,1.04,-2.44,0.31,8.72,-69.21,-51,side
0.01,0.99,-0.13,1.1,-2.87,0.18,8.63,-69.15,-50.76,side
0.01,0.99,-0.13,1.04,-2.5,0.24,8.56,-69.45,-51.07,side
0.01,0.99,-0.13,1.16,-2.5,0.24,8.8,-69.08,-50.76,side
0.01,0.99,-0.13,1.28,-2.5,0.18,9.06,-68.91,-51.73,side
0.01,0.99,-0.13,0.98,-2.5,0.24,9.01,-69.07,-51.46,side
0.01,0.99,-0.13,0.98,-2.56,0.18,8.97,-69.63,-51.07,side
0.01,0.99,-0.13,1.16,-2.56,0.18,8.89,-69.59,-50.87,side
0.01,0.99,-0.13,1.1,-2.62,0.31,9.06,-69.67,-50.68,side
0.01,0.99,-0.13,1.22,-2.62,0.18,9.19,-69.26,-51.09,side
0.01,0.99,-0.13,1.22,-2.56,0.49,8.96,-69.76,-51.29,side
0.01,0.99,-0.13,1.16,-2.81,0.24,9.23,-69.19,-50.7,side
0.01,0.99,-0.13,1.1,-2.5,0.31,9.35,-69.32,-51.67,side
0.01,0.99,-0.13,1.22,-2.62,0.24,8.76,-69.54,-51.71,side
0.01,0.99,-0.13,1.22,-2.62,0.24,8.76,-69.06,-50.28,side
0.01,0.99,-0.13,1.1,-2.62,0.31,9.02,-69.56,-50.78,side
0.01,0.99,-0.13,1.22,-2.69,0.24,9.12,-68.73,-51.71,side
0.01,0.99,-0.13,1.16,-2.75,0.31,8.91,-69.06,-50.11,side
0.01,0.99,-0.13,1.16,-2.56,0.24,8.83,-69.17,-50.34,side
0.01,0.99,-0.13,1.16,-2.69,0.24,8.87,-68.84,-50.46,side
0.01,0.99,-0.13,0.98,-2.69,0.31,9.03,-69.13,-49.88,side
0.01,0.99,-0.13,1.1,-2.69,0.24,9.19,-69.21,-50.32,side
0.01,0.99,-0.13,1.28,-2.69,0.18,8.61,-69.53,-50.71,side
0.01,0.99,-0.13,1.22,-2.81,0.31,8.84,-70.02,-50.02,side
0.01,0.99,-0.13,1.1,-2.56,0.31,9.25,-69.19,-50.45,side
0.01,0.99,-0.13,1.1,-2.81,0.24,9.31,-69.45,-50.71,side
0.01,0.99,-0.13,1.1,-2.56,0.18,9.11,-69.24,-50.28,side
0.01,0.99,-0.13,0.92,-2.56,0.37,8.96,-69.73,-49.82,side
0.01,0.99,-0.13,1.1,-2.69,0.24,9.24,-69.63,-49.89,side
0.01,0.99,-0.13,1.1,-2.75,0.06,8.95,-69.56,-50.61,side
0.01,0.99,-0.13,1.04,-2.56,0.31,8.89,-69.35,-50.29,side
0.01,0.99,-0.13,1.16,-2.75,0.24,9.14,-69.23,-50.26,side
0.01,0.99,-0.13,1.16,-2.56,0.18,9.07,-68.65,-49.9,side
0.01,0.99,-0.13,1.04,-2.69,0.24,9.17,-69.02,-50.87,side
0.01,0.99,-0.13,1.16,-2.81,0.24,9.38,-69.59,-50.37,side
0.01,0.99,-0.13,1.1,-2.69,0.31,8.76,-68.91,-50.62,side
0.01,0.99,-0.13,1.1,-2.62,0.24,9.02,-69.38,-49.49,side
