ax,ay,az,gx,gy,gz,mx,my,mz,label
-1,-0.02,0.08,0.98,-3.91,0.24,-55.16,-45.15,-82.19,straight
-1,-0.02,0.08,1.1,-3.23,0.18,-56.04,-45.47,-82.31,straight
-1,-0.02,0.08,1.28,-5.31,0.49,-56.1,-45.45,-81.58,straight
-1,-0.02,0.07,0.92,-5.62,0.24,-56.21,-45.53,-80.9,straight
-1,-0.02,0.07,1.65,-3.48,0.49,-55.75,-45.64,-82.46,straight
-1,-0.02,0.07,0.85,-2.32,0.18,-56.42,-45.89,-83.45,straight
-1,-0.02,0.07,1.1,-2.93,0.18,-56.21,-46.12,-82.34,straight
-1,-0.02,0.07,1.16,-3.48,0.31,-56.62,-45.73,-82.57,straight
-1,-0.02,0.07,1.04,-3.85,0.24,-56.08,-45.65,-81.8,straight
-1,-0.02,0.06,1.04,-3.11,0.18,-56.53,-45.41,-81.09,straight
-1,-0.02,0.06,0.49,0.98,-0.24,-56.26,-45.29,-81.16,straight
-1,-0.02,0.08,0.67,4.27,0.06,-55.83,-45.57,-82.8,straight
-1,-0.02,0.08,1.16,-2.44,0.37,-56.21,-45.47,-82.98,straight
-1,-0.02,0.07,1.22,-4.46,0.37,-55.96,-45.61,-82.47,straight
-1.01,-0.02,0.07,1.1,-4.58,0.49,-56.65,-45.53,-81.68,straight
-1.01,-0.02,0.07,0.79,-2.26,0.12,-56.12,-45.37,-81.73,straight
-1,-0.02,0.07,0.92,-0.79,0.12,-56.07,-45.76,-81.86,straight
-1,-0.02,0.08,1.22,-2.14,0.24,-56.46,-45.78,-81.98,straight
-1,-0.02,0.07,1.16,-3.85,0.49,-56.37,-45.37,-82.15,straight
-1,-0.02,0.07,0.92,-2.26,0.24,-56.45,-45.83,-82.97,straight
-1,-0.02,0.07,0.85,-2.2,0.18,-55.75,-45.73,-81.97,straight
-1,-0.02,0.07,0.98,-2.32,0.18,-55.81,-45.43,-81.15,straight
-1,-0.02,0.07,0.92,-2.01,0.18,-56.4,-45.65,-82.43,straight
-1,-0.02,0.07,0.98,-1.71,0.24,-56.43,-45.5,-82.12,straight
-1,-0.02,0.07,0.98,-1.46,0,-56.32,-45.51,-83.28,straight
-1,-0.02,0.08,0.98,-2.08,0.12,-55.85,-45.73,-82.67,straight
-1,-0.02,0.08,1.22,-4.52,0.49,-55.55,-45.95,-82.96,straight
-1.01,-0.02,0.07,0.98,-5.25,0.24,-56.38,-45.56,-82.82,straight
-1,-0.02,0.07,1.04,-2.69,0.31,-56.47,-45.2,-81.97,straight
-1,-0.02,0.07,0.92,-2.81,0.06,-56.16,-46.02,-82.32,straight
-1,-0.02,0.07,0.92,-3.42,0.31,-55.93,-45.65,-83.29,straight
-1,-0.02,0.07,1.04,-2.38,0.24,-56.4,-46.02,-82.52,straight
-1,-0.02,0.07,1.1,-4.09,0.24,-56.2,-45.59,-82.92,straight
-1.01,-0.02,0.07,1.16,-3.78,0.37,-56.26,-46.09,-80.8,straight
-1,-0.02,0.06,0.92,-2.62,0.24,-56.12,-45.51,-82.15,straight
-1,-0.02,0.07,0.85,-2.32,0.24,-56.76,-45.52,-83.54,straight
-1,-0.02,0.07,1.16,-2.69,0.18,-55.93,-45.02,-82.76,straight
-1,-0.02,0.06,0.98,-2.2,0.06,-56.49,-45.91,-80.99,straight
-1,-0.02,0.07,0.98,-1.22,0.06,-56.25,-45.68,-82.62,straight
-1,-0.02,0.07,0.98,-1.65,0.24,-56.51,-45.51,-82.54,straight
-1,-0.02,0.07,1.04,-3.48,0.37,-56.77,-45.42,-83.35,straight
-1,-0.02,0.07,1.16,-3.85,0.37,-56.03,-45.32,-82.71,straight
-1,-0.02,0.07,0.92,-2.32,0.18,-56.52,-45.95,-81.77,straight
-1,-0.02,0.07,1.04,-1.65,0.31,-56.92,-46.18,-81.27,straight
-1,-0.02,0.07,1.59,-2.62,0.31,-56.05,-46.18,-82.4,straight
-1,-0.02,0.07,3.66,-1.53,0.79,-56.4,-45.81,-83.75,straight
-1.01,-0.02,0.07,2.69,-1.77,0.67,-56.57,-45.37,-82.89,straight
-1.01,-0.02,0.07,2.5,-2.81,0.67,-56.01,-45.37,-82.31,straight
-1,-0.02,0.07,1.65,-2.44,0.49,-56.19,-45.61,-82.1,straight
-1,-0.02,0.07,-0.06,-2.38,-0.06,-56.07,-45.02,-82.6,straight
-1,-0.02,0.07,-2.56,-1.83,-0.61,-56.63,-45.69,-82.59,straight
-1,-0.02,0.08,1.4,-2.93,0.43,-56.79,-45.52,-83.12,straight
-1,-0.02,0.07,2.75,-4.88,0.79,-56.82,-45.36,-82.37,straight
-1,-0.02,0.06,2.5,-4.03,0.73,-56.32,-45.61,-82.06,straight
-1,-0.02,0.06,1.95,-1.89,0.12,-56.51,-45.8,-82.37,straight
-1,-0.02,0.07,-0.98,-1.28,-0.43,-56.35,-45.8,-82.5,straight
-1,-0.02,0.07,2.08,-1.34,0.43,-56.79,-45.43,-82.75,straight
-1,-0.02,0.07,1.46,-1.83,0.18,-56.38,-45.56,-83.06,straight
-1,-0.02,0.07,0.92,-1.89,0.06,-56.51,-45.13,-82.63,straight
-1.01,-0.02,0.07,2.01,-2.44,0.55,-56.2,-45.14,-82.46,straight
-1,-0.02,0.07,3.3,-2.99,0.92,-56.3,-45.21,-83.37,straight
-1,-0.02,0.07,1.28,-2.81,0.24,-56.37,-45.21,-82.59,straight
-1,-0.02,0.07,-1.83,-1.22,-0.49,-55.99,-45.23,-82.53,straight
-1,-0.02,0.08,2.81,0.67,0.73,-56.1,-45.06,-83.39,straight
-1,-0.02,0.07,0.12,-2.32,0.06,-56.15,-45.2,-84,straight
-1,-0.02,0.07,1.89,-2.14,0.49,-56.65,-45.34,-82.41,straight
-1,-0.02,0.07,0.92,-2.38,0.24,-56.43,-45.25,-83.9,straight
-1,-0.02,0.07,1.89,-2.32,0.43,-56.65,-44.91,-82.29,straight
-1,-0.02,0.07,2.99,-2.99,0.24,-56.63,-45.34,-83,straight
-1,-0.02,0.07,4.94,-2.5,0.31,-55.94,-44.62,-83.25,straight
-1,-0.02,0.07,3.05,-2.99,0.37,-56.37,-46.03,-83.81,straight
-1,-0.02,0.07,0.49,-2.2,0.18,-56.35,-44.9,-81.31,straight
-1,-0.02,0.07,1.89,-2.69,0.31,-55.87,-44.23,-82.28,straight
-1,-0.02,0.07,-2.14,-2.2,0.06,-56.35,-44.82,-82.89,straight
-1,-0.02,0.08,3.85,-1.4,0.24,-55.8,-44.57,-82.5,straight
-1,-0.02,0.09,5.74,0.43,0.12,-56.67,-44.95,-83.01,straight
-1,-0.02,0.07,-7.81,1.95,0.12,-56.09,-44.97,-82.5,straight
-1,-0.02,0.09,-7.45,-1.89,-1.95,-56.1,-45.09,-81.82,straight
-1,-0.02,0.09,8.67,-4.09,0,-56.29,-44.8,-84.03,straight
-1,-0.03,0.1,19.47,-3.11,0.24,-55.92,-45.03,-84.09,straight
-1,-0.04,0.07,17.27,-0.98,-1.77,-56.08,-45.31,-83.59,straight
-0.97,-0.08,0.14,-13.79,12.08,11.17,-56.52,-44.56,-84.37,straight
-1,-0.02,0.1,-5,-3.91,0.49,-56.3,-45.3,-83.9,straight
-1.01,-0.01,0.08,7.87,-9.28,-2.87,-56.34,-45.28,-82.65,straight
