ax,ay,az,gx,gy,gz,mx,my,mz,label
-0.01,0,1,1.04,-2.5,0.18,5.11,-49.41,-116.35,supine
-0.01,0,1,1.04,-2.56,0.18,5.16,-49.55,-117.29,supine
-0.01,0,1,0.98,-2.62,0.18,5.19,-49.5,-116.91,supine
-0.01,0,1,1.04,-2.5,0.24,5.24,-49.69,-116.58,supine
-0.01,0,1,0.98,-2.5,0.31,4.69,-49.63,-117.25,supine
-0.01,0,1,1.1,-2.56,0.24,4.77,-49.35,-117.03,supine
-0.01,0,1,0.98,-2.5,0.12,4.68,-49.87,-116.86,supine
-0.01,0,1,0.92,-2.69,0.24,4.64,-49.91,-118.29,supine
-0.01,0,1,0.98,-2.62,0.24,4.77,-50.48,-117.14,supine
-0.01,0,1,1.16,-2.56,0.12,4.74,-50.07,-115.81,supine
-0.01,0,1,0.98,-2.56,0,4.98,-49.72,-116.41,supine
-0.01,0,1,0.98,-2.5,0.18,5.13,-49.66,-117.18,supine
-0.01,0,1,0.98,-2.56,0.18,4.26,-49.74,-117.61,supine
-0.01,0,1,1.1,-2.62,0.18,4.25,-49.44,-116.88,supine
-0.01,0,1,0.98,-2.5,0.37,5.36,-49.43,-116.52,supine
-0.01,0,1,0.98,-2.5,0.24,5.22,-49.71,-116.28,supine
-0.01,0,1,0.98,-2.32,0.31,4.97,-49.82,-117.63,supine
-0.01,0,1,0.92,-2.5,0.31,4.86,-49.82,-117.33,supine
-0.01,0,1,1.1,-2.69,0.31,5.4,-49.65,-117.05,supine
-0.01,0,1,1.16,-2.56,0.37,5.38,-49.52,-116.89,supine
-0.01,0,1,1.1,-2.44,0.31,5.05,-49.55,-116.98,supine
-0.01,0,1,0.92,-2.56,0.37,5.16,-50.4,-116.42,supine
-0.01,0,1,0.73,-2.44,0.18,4.79,-50.04,-115.58,supine
-0.01,0,1,0.98,-2.62,0.37,5.52,-49.65,-117.03,supine
-0.01,0,1,0.92,-2.62,-0.06,5.29,-49.37,-116.75,supine
-0.01,0,1,0.92,-2.5,0,5.1,-49.57,-118.14,supine
-0.01,0,1,1.1,-2.5,0.43,5.05,-49.88,-116.37,supine
-0.01,0,1,0.98,-2.62,0.37,4.72,-49.43,-117.47,supine
-0.01,0,1,1.04,-2.69,0.24,4.65,-50.04,-116.64,supine
-0.01,0,1,0.92,-2.75,0.31,4.58,-49.71,-116.41,supine
-0.01,0,1,1.04,-2.56,0.18,4.99,-49.45,-117.94,supine
-0.01,0,1,1.04,-2.75,0.12,5.04,-49.77,-117.64,supine
-0.01,0,1,0.92,-2.69,0.12,5.21,-49.62,-116.71,supine
-0.01,0,1,1.04,-2.56,0.06,5.14,-49.87,-116.82,supine
-0.01,0,1,1.04,-2.62,0.06,4.74,-49.78,-116.97,supine
-0.01,0,1,0.92,-2.5,0.24,5.36,-49.15,-116.5,supine
-0.01,0,1,1.04,-2.62,0.18,4.96,-50.04,-117.16,supine
-0.01,0,1,1.04,-2.44,0.24,5.04,-50.07,-117.43,supine
-0.01,0,1,1.04,-2.38,0.31,4.75,-50.06,-118.19,supine
-0.01,0,1,0.92,-2.5,0.24,4.77,-50.06,-116.64,supine
-0.01,0,1,0.79,-2.44,0.49,4.83,-49.32,-117.99,supine
-0.01,0,1,0.85,-2.38,0.24,4.21,-49.27,-117.33,supine
-0.01,0,1,0.92,-2.38,0.12,4.85,-49.54,-116.19,supine
-0.01,0,1,0.92,-2.56,0,4.2,-49.66,-116.42,supine
-0.01,0,1,0.92,-2.62,0.06,5.22,-49.62,-115.66,supine
-0.01,0,1,0.92,-2.38,0.31,4.85,-50.01,-117.21,supine
-0.01,0,1,0.85,-2.5,0.31,4.93,-49.95,-117.14,supine
-0.01,0,1,0.98,-2.5,0.31,4.9,-49.73,-117.13,supine
-0.01,0,1,1.16,-2.38,0.43,4.57,-49.55,-116.7,supine
-0.01,0,1,1.04,-2.38,0.37,5.2,-49.26,-116.55,supine
-0.01,0,1,1.1,-2.44,0.31,4.47,-49.72,-115.61,supine
-0.01,0,1,1.04,-2.38,0.37,4.48,-49.29,-117.65,supine
-0.01,0,1,1.16,-2.5,0.12,4.28,-49.27,-116.61,supine
-0.01,0,1,1.16,-2.44,0.24,4.54,-49.55,-116.37,supine
-0.01,0,1,0.85,-2.5,0.37,4.48,-49.61,-117.49,supine
