ax,ay,az,gx,gy,gz,mx,my,mz,label
-0.32,0.93,0.2,0.24,-2.32,-1.65,-3.47,-98.47,-47.67,unknown
-0.32,0.93,0.2,0.43,-1.22,-0.18,-3.76,-98.1,-47.61,unknown
-0.32,0.93,0.2,-0.37,-0.31,-0.67,-3.06,-98.65,-47.42,unknown
-0.32,0.93,0.2,0.79,-1.46,0.43,-3.03,-98.58,-46.64,unknown
-0.32,0.93,0.2,0.79,-1.95,0.49,-3.33,-98.79,-47.2,unknown
-0.32,0.93,0.2,0.92,-2.81,0.06,-3.56,-98.58,-47.17,unknown
-0.32,0.93,0.2,0.79,-2.26,0.18,-3.28,-98.41,-48.21,unknown
-0.32,0.93,0.2,0.55,-1.95,-0.55,-3.09,-98.46,-47.24,unknown
-0.32,0.93,0.2,0.24,-2.99,-1.59,-2.81,-98.5,-47.27,unknown
-0.31,0.93,0.19,0.85,-4.46,-2.01,-2.77,-98.71,-46.55,unknown
-0.31,0.93,0.19,1.28,-3.54,-0.98,-2.92,-98.75,-47.69,unknown
-0.31,0.93,0.19,1.34,-1.59,0.49,-2.99,-98.74,-46.58,unknown
-0.31,0.93,0.2,1.46,-2.44,1.4,-3.37,-98.38,-46.8,unknown
-0.31,0.93,0.19,0.85,-2.69,0.49,-2.8,-98.38,-47.34,unknown
-0.32,0.93,0.2,1.71,-3.3,0.43,-2.77,-98.13,-47.72,unknown
-0.31,0.93,0.19,0.61,-2.26,-0.61,-2.83,-99.06,-47.23,unknown
-0.31,0.93,0.2,-1.71,0.98,0.73,-2.6,-99.08,-47.01,unknown
-0.32,0.93,0.19,0.79,-1.83,0.98,-2.44,-98.36,-47.12,unknown
-0.32,0.93,0.19,1.22,-3.23,0.18,-2.42,-98.61,-47.09,unknown
-0.31,0.93,0.19,0.61,-3.11,-2.01,-2.65,-99.11,-47.45,unknown
-0.31,0.93,0.19,1.28,-2.99,-0.49,-1.93,-99.1,-45.67,unknown
-0.31,0.93,0.19,1.28,-2.87,-0.43,-2.04,-99.06,-46.45,unknown
-0.31,0.93,0.19,0.98,-2.69,-0.24,-1.88,-98.89,-46.08,unknown
-0.31,0.93,0.19,0.98,-3.66,-1.59,-1.87,-98.6,-47.02,unknown
-0.31,0.93,0.19,1.53,-5.49,-1.34,-2.16,-99.16,-46.92,unknown
-0.31,0.93,0.19,1.34,-6.04,-3.05,-1.16,-98.86,-45.84,unknown
-0.31,0.93,0.19,1.59,-7.08,-2.99,-1.39,-98.86,-47.24,unknown
-0.3,0.97,0.19,2.01,-6.47,-1.53,-1.06,-99.57,-46.8,unknown
-0.3,0.94,0.18,2.5,-5,1.1,-0.83,-99.65,-47.06,unknown
-0.31,0.93,0.19,1.59,-3.3,1.28,-0.6,-99.98,-46.94,unknown
-0.31,0.93,0.19,1.46,-3.36,-0.43,-1.01,-99.08,-46.85,unknown
-0.31,0.93,0.19,1.16,-3.78,-0.24,-0.6,-99.52,-46.86,unknown
